"peiid","taxonname_clean","taxonname_key","taxclname","taxorder","taxsuborder","taxgrtgroup","taxsubgrp","taxpartsize","POINT_X","POINT_Y","phiidref","labsampnum","layerseqnum","hzdept","hzdepb","hzname","texcl","ncsslayerlabdataiid","sandtotmeasured","silttotmeasured","claytotmeasured","cec7","colorhue","colorvalue","colorchroma"
890504,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3017889,32.5954444000001,4410622,"11N00517",46,45,50,"Bt","Sandy loam",432776,72.8000031,8.3000002,18.8999996,NA,"10YR",6,6
890504,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3017889,32.5954444000001,4410620,"11N00514",43,0,2,"A","Sand",432773,89.6999969,6.8000002,3.5,NA,"10YR",6,2
890505,"Fuquay","FUQUAY","Loamy, kaolinitic, thermic Arenic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Arenic Plinthic Kandiudults","loamy",-82.3015778,32.5951333,4410624,"11N00519",48,2,27,"A","Sand",432778,88.9000015,6.9000001,4.1999998,NA,"10YR",6,2
890505,"Fuquay","FUQUAY","Loamy, kaolinitic, thermic Arenic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Arenic Plinthic Kandiudults","loamy",-82.3015778,32.5951333,4410625,"11N00520",49,27,48,"E1","Loamy sand",432779,87.0999985,7.5999999,5.3000002,NA,"10YR",6,3
890505,"Fuquay","FUQUAY","Loamy, kaolinitic, thermic Arenic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Arenic Plinthic Kandiudults","loamy",-82.3015778,32.5951333,4410627,"11N00521",50,48,53,"E2","Loamy sand",432780,83.5,7.3000002,9.1999998,NA,"10YR",6,4
890505,"Fuquay","FUQUAY","Loamy, kaolinitic, thermic Arenic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Arenic Plinthic Kandiudults","loamy",-82.3015778,32.5951333,4410624,"11N00518",47,0,2,"A","Sand",432777,89.9000015,6.6999998,3.4000001,NA,"10YR",6,2
890506,"Fuquay","FUQUAY","Loamy, kaolinitic, thermic Arenic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Arenic Plinthic Kandiudults","loamy",-82.3020222,32.5950917000001,4410628,"11N00524",53,10,54,"E1","Sand",432783,88.3000031,9,2.7,NA,"10YR",6,3
890506,"Fuquay","FUQUAY","Loamy, kaolinitic, thermic Arenic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Arenic Plinthic Kandiudults","loamy",-82.3020222,32.5950917000001,4410630,"11N00523",52,2,10,"A","Sand",432782,90.1999969,5.9000001,3.9000001,NA,"10YR",5,2
890506,"Fuquay","FUQUAY","Loamy, kaolinitic, thermic Arenic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Arenic Plinthic Kandiudults","loamy",-82.3020222,32.5950917000001,4410630,"11N00522",51,0,2,"A","Sand",432781,89.3000031,6.5,4.1999998,NA,"10YR",5,2
890507,"Fuquay","FUQUAY","Loamy, kaolinitic, thermic Arenic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Arenic Plinthic Kandiudults","loamy",-82.3024611,32.5951694,4410634,"11N00526",55,2,23,"A","Sand",432785,89,8.8999996,2.0999999,NA,"10YR",6,2
